country,1870,1875,1880,1885,1890,1895,1900,1905,1910,1915,1920,1925,1930,1935,1940,1945,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015
Georgia,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.08,0.35,1.26,3.95,10.27,21.96,38.31,56.31,72.07,83.41,90.58,94.76,97.23,98.10,98.49,98.72,98.77,98.83,98.58,98.58,98.35,98.56
Germany,18.95,26.07,32.86,40.34,48.26,56.53,63.15,68.86,73.73,77.89,82.06,85.56,87.88,89.77,91.59,93.15,94.64,95.31,96.66,96.87,96.47,96.88,96.73,96.80,96.69,96.18,96.57,97.64,97.44,98.86
Ghana,0.13,0.23,0.37,0.56,0.82,1.17,1.63,2.22,2.99,3.95,5.07,6.53,8.39,10.60,13.00,15.73,18.64,22.07,24.98,32.23,39.04,48.84,49.04,48.32,48.54,51.00,55.40,58.65,60.17,60.87
Greece,0.14,0.31,0.57,0.97,1.49,2.12,2.77,3.43,4.25,5.30,6.65,8.18,9.80,11.54,13.72,16.64,20.60,25.74,29.47,36.89,45.24,58.55,67.51,77.25,84.42,88.12,89.16,90.69,92.37,93.15
Guadeloupe,0.00,0.00,0.00,0.00,0.01,0.02,0.06,0.11,0.22,0.42,0.77,1.41,2.54,4.41,7.46,12.04,18.49,26.56,35.68,40.12,49.15,57.19,64.91,72.33,77.16,79.72,82.51,86.38,86.54,87.98
Guatemala,0.07,0.13,0.23,0.32,0.41,0.53,0.69,0.90,1.12,1.36,1.70,2.13,2.70,3.41,4.26,5.24,6.33,7.38,8.47,10.03,12.56,15.22,18.36,21.64,24.16,27.10,31.16,36.13,42.84,49.55
Guinea,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.03,0.06,0.11,0.20,0.39,0.71,1.02,1.80,3.10,5.34,9.38,10.36,9.16,9.11,9.47,12.62,17.36,24.36,29.61
Guinea-Bissau,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.03,0.06,0.11,0.19,0.34,0.62,1.05,1.72,2.86,4.85,6.98,9.89,13.82,15.35,18.24,22.35,25.40,29.76,28.02
Guyana,1.15,1.08,1.46,1.93,3.10,3.81,5.33,6.70,8.95,11.24,13.74,16.64,19.61,22.97,26.93,30.92,32.72,38.20,41.61,50.35,59.69,65.54,68.57,71.66,74.55,79.40,83.00,87.16,89.25,91.04
Haiti,0.71,0.86,1.01,1.20,1.39,1.61,1.85,2.10,2.38,2.69,3.00,3.33,3.66,4.00,4.46,4.79,5.21,6.20,7.34,7.99,9.98,12.25,15.52,20.69,27.60,32.43,41.96,41.97,40.06,45.53
Honduras,0.23,0.38,0.54,0.79,1.13,1.27,1.46,1.63,1.80,1.98,2.14,2.28,2.42,2.58,2.80,3.36,3.92,5.07,6.80,8.99,11.51,14.28,17.53,21.29,23.44,24.68,26.75,32.21,39.02,43.56
Hong Kong Special Administrative Region of China,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.04,0.14,0.38,0.97,2.20,4.49,8.21,13.94,20.85,32.02,39.13,44.64,50.21,60.89,74.84,84.85,88.58,92.26,94.92,97.51,97.73
Hungary,0.37,0.57,0.85,1.22,1.75,2.49,3.54,5.01,7.06,9.91,13.81,19.05,25.79,34.05,44.16,55.73,67.95,77.39,88.58,94.52,97.05,97.78,97.51,97.86,98.30,98.48,98.47,98.97,98.46,99.42
Iceland,0.00,0.00,0.01,0.02,0.07,0.26,1.00,3.56,11.58,28.85,53.06,79.35,94.64,98.90,99.78,99.97,99.98,99.92,99.91,99.94,99.93,99.95,99.96,99.93,99.92,99.94,99.96,99.96,99.96,99.95
India,0.30,0.27,0.39,0.59,0.83,1.11,1.43,1.81,2.24,2.84,3.45,4.24,5.01,5.94,7.09,8.52,10.33,12.49,15.29,18.14,22.00,26.62,30.19,33.18,36.74,41.11,46.32,53.77,58.39,67.09
Indonesia,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.04,0.07,0.17,0.34,0.62,1.07,1.73,2.58,3.51,4.53,6.61,10.61,15.10,19.72,25.02,28.72,36.53,47.84,55.13,60.50,66.49,72.95,76.64
Iran (Islamic Republic of),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.03,0.07,0.15,0.30,0.67,1.39,4.54,4.74,5.82,9.40,16.50,22.23,29.41,37.36,45.30,48.75,55.26,65.88,72.26,77.41,82.53
Iraq,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.04,0.08,0.19,0.40,0.76,1.37,2.39,4.05,6.11,10.14,16.83,22.28,25.18,32.06,37.04,38.08,36.76,35.58,38.60,36.42,43.53
Ireland,1.43,1.93,2.42,3.04,3.76,4.70,5.88,7.29,9.02,11.07,13.47,16.20,19.16,22.50,26.45,31.20,36.76,38.64,45.47,54.62,62.69,75.23,84.83,90.10,93.53,95.06,96.24,97.55,97.75,98.81
Israel,0.28,0.49,0.81,1.30,2.01,3.02,4.42,6.28,8.63,11.49,14.88,18.80,23.24,28.59,35.12,40.57,46.99,54.00,61.12,67.15,74.20,76.27,78.73,80.91,83.35,85.56,87.02,89.62,88.20,90.15
Italy,2.09,2.79,3.61,4.51,5.45,6.43,7.46,8.57,9.73,10.93,12.23,13.64,15.07,16.75,19.19,22.46,27.08,33.29,41.56,47.51,59.95,75.50,86.63,92.00,94.05,95.54,96.44,98.46,98.20,99.53
Jamaica,0.21,0.28,0.42,0.65,0.94,1.32,1.81,2.49,3.32,4.40,5.75,7.36,9.35,11.82,14.79,18.26,22.16,27.33,30.16,36.86,44.68,57.50,71.57,80.67,84.81,87.96,89.74,93.10,94.43,95.28
Japan,0.00,0.00,0.00,0.01,0.03,0.11,0.41,1.37,4.36,12.82,31.91,60.09,82.76,93.37,97.30,98.73,99.31,87.91,89.91,93.19,99.32,99.88,99.88,99.90,99.93,99.93,99.92,99.91,99.22,99.88
Jordan,0.00,0.00,0.00,0.00,0.01,0.01,0.03,0.04,0.10,0.17,0.32,0.60,1.09,1.97,3.40,5.61,9.32,14.66,21.28,44.14,50.92,54.82,58.51,62.02,63.59,64.58,62.06,66.24,71.71,76.51
Kazakhstan,1.05,1.80,3.03,5.02,8.06,11.85,16.74,22.40,28.29,34.00,38.31,41.78,46.16,49.24,42.71,55.70,56.10,62.45,75.68,85.10,94.42,97.57,98.62,99.06,99.07,99.04,99.03,99.05,99.01,99.00
Kenya,0.00,0.01,0.01,0.03,0.05,0.08,0.12,0.19,0.29,0.42,0.63,0.93,1.38,2.03,2.95,4.31,5.75,8.06,11.87,18.31,23.69,26.30,33.34,40.65,50.89,59.21,60.22,63.74,64.07,62.38
Kiribati,0.15,0.02,0.20,0.31,0.45,0.67,0.92,1.26,1.69,2.23,2.87,3.66,4.54,5.64,7.19,9.11,11.34,13.99,17.33,21.64,26.38,31.23,36.70,40.69,46.34,52.62,60.77,70.11,81.22,82.48
Kuwait,0.00,0.00,0.00,0.01,0.02,0.03,0.07,0.13,0.24,0.47,0.80,1.49,2.56,4.68,7.11,10.73,14.70,18.90,25.43,32.12,38.26,59.55,59.61,58.44,57.71,56.90,57.09,75.39,61.56,87.65
Kyrgyzstan,0.00,0.00,0.00,0.01,0.02,0.06,0.14,0.30,0.61,1.22,2.61,5.38,9.54,16.17,25.32,36.54,51.92,59.20,73.93,85.92,95.15,97.95,98.80,98.99,99.06,99.08,98.96,98.87,98.68,98.38
Lao People's Democratic Republic,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.03,0.05,0.09,0.16,0.27,0.45,0.72,1.16,1.81,2.79,4.16,5.89,8.34,10.85,15.36,18.01,21.98,22.02,23.55,30.00,35.76,41.71
Latin America and the Caribbean,0.74,0.72,0.81,1.00,1.28,1.61,2.03,2.53,3.13,3.86,4.63,5.47,6.45,7.66,9.42,11.23,13.50,16.43,20.42,25.75,32.33,39.45,46.36,52.24,56.68,60.90,65.31,70.18,74.63,78.66
Latvia,18.48,23.85,29.23,34.09,40.36,43.60,48.69,52.93,57.11,60.97,64.47,68.92,72.27,75.01,77.83,79.87,84.31,85.55,93.55,96.89,98.86,99.33,99.48,99.48,99.35,99.13,98.50,98.33,97.48,97.70
Lebanon,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.04,0.08,0.19,0.39,0.80,1.56,2.96,5.37,9.25,14.81,18.95,26.98,36.05,44.85,53.08,60.38,66.59,72.00,75.93,81.58,83.20,85.03
Lesotho,0.00,0.04,0.06,0.09,0.15,0.22,0.32,0.45,0.61,0.76,0.95,1.20,1.52,1.94,2.42,2.97,3.75,5.11,6.59,8.07,9.96,13.21,16.31,19.55,23.81,25.49,30.74,35.42,40.32,42.78
Liberia,0.00,0.00,0.00,0.01,0.02,0.03,0.04,0.06,0.09,0.15,0.26,0.44,0.72,1.18,1.86,2.88,4.39,6.56,9.72,12.66,17.74,24.18,27.42,30.47,31.10,29.36,30.64,31.13,27.54,30.30
Lithuania,0.00,0.02,0.04,0.09,0.22,0.47,0.92,1.77,3.19,5.49,8.47,12.60,17.81,22.42,28.98,35.49,44.10,50.81,70.18,85.18,96.35,98.88,99.32,99.44,99.42,99.08,97.97,98.60,98.88,97.95
Luxembourg,4.56,5.37,5.38,6.32,8.05,9.40,10.96,13.16,15.06,17.45,19.13,22.73,26.21,30.12,35.04,39.97,46.89,54.69,60.33,68.02,71.39,74.90,78.31,79.71,82.80,86.15,90.41,94.45,95.18,98.19
