country,1870,1875,1880,1885,1890,1895,1900,1905,1910,1915,1920,1925,1930,1935,1940,1945,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015
Iceland,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.20,1.07,5.73,25.16,64.95,91.03,98.23,99.68,99.99,100.00,99.96,99.90,99.95,99.90,99.99,99.96,99.94,99.98,99.95,99.96,99.96,99.97,99.96
India,0.58,0.78,1.02,1.35,1.73,2.20,2.76,3.43,4.22,5.14,6.20,7.38,8.71,10.19,11.90,13.98,16.62,19.78,23.53,27.51,32.25,37.00,40.26,43.22,46.88,50.94,55.26,60.80,63.70,70.12
Indonesia,0.00,0.00,0.00,0.00,0.01,0.02,0.03,0.08,0.17,0.32,0.60,1.08,1.81,2.82,4.03,4.76,6.29,9.33,15.12,20.56,25.50,30.49,34.61,43.22,54.42,59.54,63.36,68.12,73.00,76.26
Iran (Islamic Republic of),0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.06,0.12,0.25,0.51,1.04,2.07,5.29,6.18,8.41,13.96,23.08,30.18,38.49,46.72,53.93,56.32,62.00,69.40,74.39,77.37,82.67
Iraq,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.03,0.09,0.19,0.38,0.77,1.43,2.55,4.35,7.22,10.68,17.55,25.45,32.76,38.93,43.57,46.07,46.69,45.63,43.55,44.46,38.49,44.89
Ireland,1.04,1.36,1.76,2.27,2.90,3.65,4.59,5.77,7.19,8.90,10.93,13.25,15.86,18.71,22.10,26.37,31.90,34.12,40.68,49.44,59.93,73.42,83.55,89.09,93.30,94.21,95.96,97.32,97.44,98.73
Israel,0.20,0.37,0.63,1.07,1.72,2.68,4.00,5.80,8.13,11.03,14.49,18.49,23.07,28.67,35.54,41.02,48.44,56.58,62.71,68.17,74.16,75.53,77.75,79.57,81.31,83.01,84.17,85.79,83.51,87.25
Italy,2.29,3.12,4.13,5.23,6.36,7.57,8.83,10.23,11.67,13.07,14.45,15.86,17.37,19.20,21.81,25.44,30.58,37.65,46.86,54.40,67.04,80.26,89.04,92.68,94.11,95.37,96.12,98.31,98.05,99.47
Jamaica,0.26,0.41,0.60,0.88,1.24,1.71,2.28,3.04,3.99,5.15,6.55,8.24,10.29,12.73,15.59,18.83,22.39,27.32,29.44,35.60,43.08,55.14,67.75,76.81,81.28,84.70,86.42,90.55,92.19,93.31
Japan,0.00,0.00,0.00,0.01,0.05,0.19,0.61,1.94,5.92,16.58,38.99,67.91,87.50,95.49,98.19,99.15,99.50,86.93,89.77,93.63,99.40,99.88,99.88,99.90,99.93,99.93,99.91,99.91,99.22,99.87
Jordan,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.07,0.15,0.32,0.67,1.35,2.65,4.97,8.83,14.71,22.74,32.11,44.04,50.87,54.79,58.50,62.02,63.59,64.58,62.06,66.23,71.72,76.51
Kazakhstan,1.06,2.04,3.72,6.39,10.28,15.41,21.58,28.42,35.20,41.41,46.73,50.99,54.21,56.43,47.91,61.23,58.57,64.52,77.71,86.74,94.98,97.58,98.47,98.91,98.91,98.87,98.85,98.84,98.82,98.74
Kenya,0.00,0.00,0.00,0.00,0.01,0.02,0.03,0.08,0.14,0.24,0.44,0.78,1.36,2.31,3.81,6.09,9.41,13.63,20.79,29.89,34.03,35.97,42.24,48.90,59.16,64.78,64.32,65.26,64.90,61.98
Kiribati,0.28,0.41,0.58,0.82,1.14,1.55,2.07,2.75,3.60,4.66,5.96,7.51,9.33,11.43,13.83,16.60,19.84,23.40,27.13,30.85,34.41,37.83,41.08,42.69,48.62,51.67,58.98,66.89,77.12,77.92
Kuwait,0.00,0.00,0.01,0.02,0.03,0.06,0.13,0.24,0.43,0.77,1.35,2.31,3.84,6.10,9.24,13.34,18.31,23.87,29.62,35.22,40.36,59.97,57.28,55.72,54.92,54.64,55.27,74.03,58.44,85.58
Kyrgyzstan,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.16,0.56,1.82,5.11,11.82,22.61,36.46,54.54,63.41,78.42,90.22,96.59,98.34,98.80,98.98,99.08,99.07,98.94,98.66,98.42,98.22
Lao People's Democratic Republic,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.03,0.06,0.10,0.18,0.30,0.51,0.87,1.37,2.15,3.30,4.94,7.16,9.97,13.61,16.99,22.54,24.44,27.82,27.47,29.73,36.68,41.63,46.66
Latin America and the Caribbean,0.78,0.85,0.94,1.17,1.50,1.87,2.38,2.93,3.57,4.37,5.15,6.02,7.05,8.27,9.85,11.59,14.05,17.22,21.39,26.92,33.38,40.31,46.80,52.01,55.64,59.30,63.41,67.93,72.22,76.04
Latvia,33.13,39.26,45.17,50.30,54.53,58.39,62.06,65.64,68.99,72.02,74.83,77.33,79.52,81.42,83.16,84.41,86.68,87.46,93.42,96.63,98.65,99.17,99.37,99.40,99.21,98.85,97.95,97.89,96.54,97.58
Lebanon,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.08,0.15,0.34,0.73,1.45,2.73,4.94,8.45,13.56,20.13,24.79,32.61,40.57,47.79,54.58,60.53,65.73,70.29,73.63,78.23,79.72,81.97
Lesotho,0.12,0.17,0.24,0.34,0.46,0.61,0.80,1.03,1.33,1.68,2.12,2.63,3.24,3.98,4.83,5.81,6.96,8.19,9.52,11.05,12.29,14.07,16.26,17.42,23.95,25.01,26.82,30.08,34.81,34.21
Liberia,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.05,0.08,0.16,0.29,0.53,0.95,1.64,2.74,4.46,7.09,10.84,16.09,21.55,30.12,40.19,42.86,44.59,44.59,40.88,39.65,39.26,32.46,30.97
Lithuania,0.02,0.05,0.12,0.26,0.53,1.04,1.94,3.44,5.78,9.00,13.02,17.93,23.38,29.09,36.05,40.86,49.97,57.47,74.06,87.90,96.92,98.85,99.29,99.36,99.33,98.91,97.34,98.66,98.44,97.91
Luxembourg,8.95,10.49,12.26,14.21,16.37,18.73,21.32,24.16,27.20,30.44,33.82,37.32,40.96,44.81,49.06,53.82,58.85,63.80,67.88,73.55,74.40,78.07,79.99,81.06,83.50,86.55,90.33,94.13,94.51,97.92
