country,1870,1875,1880,1885,1890,1895,1900,1905,1910,1915,1920,1925,1930,1935,1940,1945,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015
Kuwait,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.05,0.12,0.26,0.54,1.11,2.18,4.10,7.33,12.23,18.89,26.90,35.27,58.98,62.98,61.98,60.60,59.41,59.70,77.21,64.93,89.94
Kyrgyzstan,0.00,0.00,0.01,0.02,0.05,0.11,0.27,0.57,1.22,2.44,4.56,7.91,12.82,19.32,27.37,36.60,49.33,54.85,69.37,81.63,93.62,97.56,98.76,99.00,99.03,99.08,98.99,99.06,98.94,98.55
Lao People's Democratic Republic,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.04,0.06,0.11,0.19,0.36,0.65,1.17,1.98,3.40,4.65,8.00,11.39,15.98,16.42,17.28,23.36,29.72,36.64
Latin America and the Caribbean,0.73,0.66,0.71,0.88,1.12,1.37,1.71,2.15,2.67,3.34,4.08,4.88,5.84,7.04,8.98,10.87,12.95,15.66,19.44,24.56,31.27,38.57,45.92,52.47,57.71,62.50,67.21,72.42,77.07,81.31
Latvia,16.04,19.69,23.68,27.77,31.97,36.27,40.75,45.34,49.97,54.46,58.81,62.97,66.80,70.43,74.10,77.03,82.45,83.80,93.69,97.16,99.11,99.51,99.60,99.58,99.51,99.41,99.05,98.78,98.47,97.83
Lebanon,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.13,0.36,0.90,2.17,4.77,9.36,13.30,21.59,31.45,41.77,51.54,60.24,67.45,73.78,78.33,85.08,86.83,88.24
Lesotho,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.04,0.06,0.09,0.16,0.26,0.42,0.65,1.01,1.53,2.25,3.22,4.49,5.87,8.07,12.48,16.36,21.53,23.69,25.97,34.48,40.59,45.76,51.34
Liberia,0.00,0.00,0.02,0.02,0.03,0.04,0.06,0.08,0.12,0.16,0.22,0.32,0.42,0.59,0.81,1.10,1.54,2.11,3.13,3.57,5.52,8.98,11.93,15.36,17.30,18.45,21.97,23.14,22.69,29.62
Lithuania,0.00,0.00,0.00,0.02,0.06,0.15,0.32,0.71,1.51,2.89,5.13,8.35,12.50,17.54,23.73,31.45,39.25,44.78,66.62,82.47,95.77,98.91,99.36,99.51,99.50,99.24,98.61,98.55,99.33,97.99
Luxembourg,0.17,0.25,0.35,0.51,0.73,1.03,1.48,2.11,3.01,4.25,5.96,8.31,11.47,15.62,20.94,27.52,35.30,44.03,52.15,62.22,68.24,71.63,76.64,78.37,82.09,85.72,90.48,94.77,95.87,98.50
