country,1870,1875,1880,1885,1890,1895,1900,1905,1910,1915,1920,1925,1930,1935,1940,1945,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015
Honduras,2.20,2.51,2.87,3.25,3.64,4.01,4.39,4.80,5.22,5.67,6.15,6.63,7.16,7.74,8.43,9.81,10.31,13.01,17.01,21.86,28.23,34.87,41.01,46.83,51.84,55.54,58.98,63.59,68.60,71.36
Hong Kong Special Administrative Region of China,0.00,0.00,0.01,0.02,0.03,0.07,0.14,0.32,0.65,1.30,2.55,4.78,8.51,14.23,22.11,31.87,42.67,52.56,64.40,72.32,79.18,84.27,89.83,95.11,97.48,98.44,98.88,99.37,99.67,99.80
Hungary,90.72,91.92,92.99,93.93,94.73,95.44,96.04,96.57,97.00,97.38,97.71,97.98,98.23,98.43,98.61,98.79,98.95,99.07,99.24,99.33,99.44,99.47,99.43,99.45,99.51,99.54,99.53,99.56,99.54,99.65
Iceland,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.20,1.07,5.73,25.16,64.95,91.03,98.23,99.68,99.99,100.00,99.99,100.00,100.00,99.99,99.99,99.99,99.99,100.00,99.98,99.99,99.98,99.97,99.97
India,2.45,3.02,3.70,4.52,5.44,6.50,7.69,9.04,10.55,12.21,14.02,15.94,17.99,20.16,22.53,25.30,28.70,32.68,37.91,42.25,47.51,52.66,55.67,58.32,61.94,66.09,70.57,75.42,79.26,82.81
Indonesia,0.00,0.00,0.00,0.01,0.03,0.07,0.13,0.29,0.61,1.21,2.37,4.49,8.08,13.67,21.10,33.65,37.80,42.86,51.10,61.38,68.48,75.53,79.45,84.22,89.49,92.69,93.85,94.10,94.90,94.50
Iran (Islamic Republic of),0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.03,0.06,0.15,0.31,0.64,1.31,2.68,5.40,15.20,16.80,19.80,28.32,41.62,51.75,62.00,68.88,76.96,82.40,86.61,90.60,92.05,93.68,94.47
Iraq,0.00,0.01,0.01,0.03,0.05,0.09,0.17,0.30,0.55,0.98,1.67,2.74,4.34,6.54,9.48,13.38,18.62,21.02,32.62,45.11,56.04,65.09,72.00,75.96,77.54,77.06,75.33,74.00,71.20,69.53
Ireland,96.22,96.50,96.74,96.98,97.20,97.38,97.57,97.75,97.90,98.04,98.18,98.28,98.38,98.48,98.57,98.68,98.84,99.14,99.16,99.39,99.59,99.40,99.58,99.69,99.65,99.39,99.39,99.43,99.45,99.52
Israel,2.70,3.92,5.57,7.78,10.59,14.06,18.16,22.87,28.06,33.56,39.20,44.82,50.35,56.08,62.54,71.52,75.64,79.82,85.21,89.83,92.34,93.42,94.04,94.44,94.82,95.09,95.45,94.78,93.43,96.38
Italy,4.42,6.04,8.08,10.50,13.31,16.64,20.55,25.23,30.71,36.98,43.98,51.55,59.32,66.93,74.02,80.22,85.37,89.43,92.48,95.34,97.21,97.88,98.13,98.47,98.66,98.82,98.94,99.25,99.39,99.57
Jamaica,2.88,3.98,5.36,7.09,9.16,11.60,14.39,17.64,21.32,25.40,29.84,34.61,39.73,45.08,50.57,56.03,61.30,66.63,70.86,75.31,80.13,85.69,90.83,94.20,95.61,96.80,97.71,98.56,98.87,99.05
Japan,41.98,52.69,63.15,72.49,80.21,86.17,90.53,93.61,95.73,97.16,98.13,98.79,99.22,99.49,99.67,99.78,99.82,99.82,99.84,99.87,99.90,99.89,99.89,99.91,99.93,99.94,99.93,99.92,99.93,99.88
Jordan,0.00,0.00,0.00,0.00,0.01,0.01,0.03,0.08,0.16,0.34,0.69,1.39,2.69,5.05,9.06,15.39,24.47,36.13,48.88,64.96,71.76,75.09,78.02,79.55,79.23,80.19,80.82,82.01,85.53,88.42
Kazakhstan,3.31,5.42,8.64,13.33,19.73,27.78,37.08,46.99,56.51,64.96,71.93,77.33,81.31,84.12,83.47,87.07,87.17,89.47,92.83,94.03,97.77,98.88,99.27,99.44,99.42,99.42,99.39,99.49,99.40,99.24
Kenya,0.01,0.01,0.02,0.04,0.07,0.12,0.19,0.34,0.54,0.85,1.35,2.11,3.27,4.97,7.40,10.92,15.20,21.10,29.81,42.77,53.14,58.52,65.50,71.97,76.29,78.77,77.55,78.15,77.98,72.98
Kiribati,0.59,0.84,1.19,1.66,2.29,3.10,4.15,5.49,7.17,9.26,11.81,14.85,18.39,22.45,27.04,32.19,37.97,44.11,50.33,56.39,62.07,66.82,72.19,75.36,78.36,80.01,81.32,82.60,87.36,84.94
Kuwait,0.00,0.00,0.02,0.03,0.05,0.10,0.20,0.37,0.66,1.17,2.03,3.45,5.68,8.94,13.40,19.07,25.72,32.84,39.80,46.10,51.37,70.69,66.80,63.62,62.03,61.24,60.02,81.48,74.73,97.36
Kyrgyzstan,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.14,0.42,1.19,3.15,7.62,16.23,29.47,45.56,61.30,75.86,83.57,90.98,96.85,99.05,99.49,99.62,99.60,99.64,99.65,99.57,99.64,99.53,99.04
