country,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025
Southern Africa,1.17,1.58,1.85,2.26,2.44,2.75,3.21,3.49,3.94,3.89,3.63,4.04,5.36,5.00,5.56,6.35
Southern Asia,1.26,1.73,2.58,3.09,3.90,4.99,5.51,6.03,6.71,7.35,8.58,10.42,14.00,14.86,16.39,18.76
Southern Europe,1.68,2.20,2.90,3.86,5.10,6.30,7.25,8.15,9.68,12.23,14.13,15.55,21.72,17.49,18.36,19.83
Spain,2.81,3.45,4.74,6.60,8.57,10.75,13.05,15.48,18.63,22.84,24.36,25.44,30.74,27.79,58.81,61.91
Sri Lanka,3.28,3.70,4.78,7.01,7.87,8.89,10.92,14.15,15.82,19.08,23.84,24.83,28.16,32.68,33.88,36.60
Sudan,0.43,0.62,0.86,1.32,1.74,2.28,2.82,3.14,3.57,4.54,5.34,9.68,6.31,7.39,8.09,9.28
Suriname,2.53,3.85,5.17,6.20,5.32,5.49,5.85,5.95,6.38,6.81,8.72,8.87,9.99,8.75,9.77,10.75
Swaziland,0.14,0.33,0.70,1.07,2.58,2.91,3.23,4.22,5.04,4.20,4.28,5.23,3.60,4.19,4.61,5.11
Sweden,5.26,7.68,9.72,12.17,14.32,16.06,16.64,17.51,19.37,22.28,24.18,25.20,44.50,28.13,56.63,60.51
Switzerland,2.24,2.89,3.69,4.69,5.06,6.05,6.87,7.70,8.70,9.79,10.71,11.51,36.01,13.86,27.78,32.55
Syrian Arab Republic,0.51,0.78,1.19,2.21,2.96,3.66,4.41,4.90,4.91,5.44,10.09,5.39,6.38,7.37,17.08,19.26
Taiwan Province of China,2.23,3.08,3.28,4.87,7.65,9.36,10.83,13.76,17.97,22.66,25.90,29.05,31.73,36.60,72.60,75.09
Tajikistan,5.66,9.71,14.88,19.39,24.67,26.53,25.71,24.91,23.53,21.81,19.97,21.12,21.18,24.27,25.44,26.94
Thailand,0.90,1.25,1.74,2.40,3.53,4.76,6.34,7.40,7.76,9.80,13.15,16.16,17.49,22.88,23.92,26.14
The former Yugoslav Republic of Macedonia,0.75,1.49,2.33,3.62,4.65,4.08,4.05,3.97,3.42,3.64,4.45,17.32,6.20,6.92,6.71,7.60
Timor-Leste,0.10,0.15,0.19,0.22,0.37,1.05,1.59,2.66,3.43,5.10,6.68,8.56,10.58,13.86,15.00,17.26
