Country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Brunei Darussalam,,,,,,,,,,,,,,,64932.084346,62303.468145,72760.083889,77308.863097,80082.679458,96517.133682,84483.389695,63568.332471,63000.674206,61220.708039,57811.772073,54270.084552,49618.464731,49057.084716,46889.491576,44296.339045,44179.827869,44201.139495,41672.370842,40342.050407,39721.434535,39274.49802,38331.657618,39820.210752,36331.181335,37045.934257,37509.598385,37269.309922,37976.262757,38595.168851,37948.659083,37312.27788,38229.356568,36174.516515,34126.694156,32855.60216,33121.317824,33754.364078,33544.538946,32381.07398,31148.729741,30625.128774,29492.414593,29524.659128,29200.195202,29996.240722,30015.958851,29256.183368,28549.175606
Bulgaria,,,,,,,,,,,,,,,,,,,,,3427.239324,3583.217929,3656.039458,3772.028073,3891.028293,3995.500589,4164.719679,4410.380354,4887.587515,4782.421749,4425.499683,4092.079489,3835.454386,3808.943205,3891.382404,4021.995239,4253.234639,3675.180807,3839.976816,3537.345444,3717.928899,3937.701609,4260.404775,4519.184392,4849.871413,5231.338119,5629.80128,6048.742318,6464.72198,6288.725432,6428.717426,6605.308517,6693.427733,6792.7355,6941.018539,7268.654455,7586.504111,7898.70693,8194.374346,8626.134187,8440.083047,9161.47738,9597.867964
Burkina Faso,244.167258,250.394091,261.880917,254.731183,256.568912,262.001317,259.130285,277.313189,280.960315,281.737638,277.184106,276.290477,277.846496,274.152506,291.303146,294.050756,312.385989,306.319821,312.546378,315.716968,309.805284,314.286583,334.960465,326.730274,311.788334,328.715165,344.993912,334.888997,344.904464,343.08982,332.153277,353.206721,345.401817,348.581211,344.371184,354.841189,383.973583,397.838955,415.273513,433.104728,428.309797,442.914123,448.128856,468.263048,474.086412,499.192798,514.113132,519.261012,533.4713,533.470085,561.847221,581.603659,600.731344,616.741331,624.576885,630.124751,648.42048,669.27631,694.492813,717.021595,713.842178,745.472563,740.30632
Burundi,252.494432,212.342855,225.788139,230.22487,237.796207,240.484067,245.589599,272.527449,265.309586,255.821731,303.709792,304.559299,285.068116,305.139959,295.430064,290.202986,306.313159,332.79234,320.275135,317.614267,307.578267,331.215392,319.648687,322.759133,315.522462,345.163854,349.75603,360.679924,370.526756,368.226157,373.245242,383.870359,377.51832,365.282012,349.016249,302.701845,278.29348,273.889548,281.470893,272.030865,264.154407,262.913886,266.968142,255.500823,258.050009,250.878933,255.105582,254.311726,256.012462,252.58202,253.308578,254.242111,256.180394,259.311117,261.296722,254.402585,258.061971,261.725839,267.508692,270.411006,263.463876,264.682652,263.58755
Cabo Verde,,,,,,,,,,,,,,,,,,,,,581.755066,622.175844,630.373215,680.309271,696.047256,745.620229,756.2601,777.830957,813.037458,846.574036,835.120723,826.681399,896.51936,953.861011,1113.938065,1248.281044,1365.498206,1492.018474,1652.111172,1809.805826,2037.317209,2051.217339,2127.708723,2186.895004,2379.796362,2514.167793,2683.839439,3056.971029,3238.441593,3159.586987,3194.616677,3309.201216,3341.742105,3361.093877,3383.842281,3415.062667,3560.140073,3719.71306,3853.6794,4115.902835,3255.93629,3471.655342,3997.767633
Cambodia,,,,,,,,,,,,,,,,775.613013,832.04637,768.349009,835.709044,746.085724,688.762216,678.011251,659.062243,663.885539,671.730249,679.989551,678.670094,790.553707,852.223975,849.27905,824.051656,850.610221,862.478031,845.382004,513.967148,520.926883,511.67035,496.770551,499.016649,552.901492,598.561915,632.833574,662.188341,719.333494,775.847139,866.34029,947.06522,1030.231176,1090.574758,1117.258342,1155.852369,1221.388399,1295.252715,1376.295576,1464.531159,1547.320104,1645.466716,1753.935305,1884.283748,2008.32094,1908.634275,1938.764367,2011.274333
Cameroon,935.699955,932.280027,942.75929,956.891729,969.229048,966.950594,988.594438,860.086899,892.491104,912.754108,916.710626,923.604761,922.880502,945.932707,1018.797264,1102.176367,1014.076672,1124.037767,1334.487505,1375.918174,1305.683662,1475.989502,1549.612724,1622.468293,1695.95061,1778.880903,1842.964317,1749.424666,1565.134753,1492.281761,1360.477653,1271.046586,1196.850819,1070.982754,1060.873266,1062.016073,1077.389252,1096.697577,1118.5082,1138.362985,1151.276893,1169.926705,1189.967079,1221.094461,1271.743269,1264.743452,1277.329907,1295.730675,1295.022113,1290.899614,1290.901375,1297.306496,1319.669616,1347.213064,1381.819385,1415.000097,1435.618307,1444.906829,1461.0197,1470.317853,1434.519137,1443.576002,1458.661804
Canada,15432.471749,15605.523189,16455.753545,17007.690714,17800.864139,18585.881442,19476.027075,19715.09365,20371.144087,21114.287059,21428.909131,21642.540785,22573.566289,23799.695529,24257.816803,24275.812751,25369.463435,25960.639202,26663.770698,27384.677933,27622.373403,28215.530855,26999.079085,27418.491611,28762.972202,29851.643294,30183.408794,31001.129847,31951.550466,32116.923323,31700.546261,30654.333155,30563.378813,31032.754606,32074.156264,32595.451515,32801.301857,33867.007907,34894.613426,36391.535344,37906.860132,38200.456121,38921.667303,39270.023458,40108.758746,41006.222952,41663.512306,42106.872438,42067.568707,40376.415385,41164.339912,42043.64198,42320.643133,42851.170527,43643.235644,43594.194105,43551.342598,44339.388669,44907.343691,45100.291507,42366.128538,44639.193269,45677.686579
Caribbean small states,4449.869762,4775.611095,4926.903214,4925.924154,5216.878603,5478.897987,5745.674452,6016.163151,6271.992213,6529.069292,6564.748673,6625.08253,6615.299368,6716.115799,6464.081265,6301.0054,6584.421483,6970.93144,7467.81469,7965.894585,8315.868924,8282.176047,8261.791215,7906.874436,8000.032938,8022.145201,8063.857974,8016.820945,8099.691427,8302.875741,8229.175922,8173.671908,8276.743918,8251.323549,8461.746187,8648.829603,8995.089739,9330.986269,9709.723818,10119.140398,10510.869426,10648.87036,10985.863235,11563.361478,12014.567002,12638.965464,13550.356247,13982.598007,14130.241381,13578.698666,13743.407385,13773.564518,14236.665434,14333.345775,14605.777465,14497.539324,13963.139539,13780.307534,13815.79476,13825.422305,12531.501842,13290.828949,15207.583755
Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96066.629966,96202.73893,93115.317637,84001.42198,79483.096398,78233.018269,77074.388629,76038.878781,76104.62179,76379.209878,77031.864217,77717.176076,79305.769207,80714.572151,75199.644625,77259.633135,80029.031968
